external_id,title,company_name,location_city,external_url,posted_date,experience_level,job_type,is_remote,skills,description,requirements
eg-tech-1,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-1,2026-06-01,entry,full_time,true,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-2,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-2,2026-05-31,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-3,Python Data Engineer,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-3,2026-05-30,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a Python Data Engineer in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-4,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-4,2026-05-29,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-5,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-5,2026-05-28,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-6,Data Analyst,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-6,2026-05-27,senior,full_time,true,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a Data Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-7,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-7,2026-05-26,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-8,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-8,2026-05-25,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-9,Business Intelligence Analyst,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-9,2026-05-24,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a Business Intelligence Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-10,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-10,2026-05-23,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-11,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-11,2026-05-22,mid,full_time,true,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-12,Junior Data Scientist,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-12,2026-05-21,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a Junior Data Scientist in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-13,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-13,2026-05-20,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-14,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-14,2026-05-19,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-15,ML Engineer Intern,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-15,2026-05-18,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a ML Engineer Intern in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-16,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-16,2026-05-17,entry,full_time,true,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-17,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-17,2026-05-16,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-18,Python Data Engineer,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-18,2026-05-15,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a Python Data Engineer in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-19,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-19,2026-05-14,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-20,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-20,2026-05-13,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-21,Data Analyst,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-21,2026-05-12,senior,full_time,true,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a Data Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-22,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-22,2026-06-01,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-23,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-23,2026-05-31,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-24,Business Intelligence Analyst,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-24,2026-05-30,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a Business Intelligence Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-25,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-25,2026-05-29,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-26,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-26,2026-05-28,mid,full_time,true,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-27,Junior Data Scientist,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-27,2026-05-27,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a Junior Data Scientist in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-28,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-28,2026-05-26,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-29,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-29,2026-05-25,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-30,ML Engineer Intern,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-30,2026-05-24,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a ML Engineer Intern in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-31,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-31,2026-05-23,entry,full_time,true,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-32,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-32,2026-05-22,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-33,Python Data Engineer,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-33,2026-05-21,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a Python Data Engineer in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-34,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-34,2026-05-20,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-35,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-35,2026-05-19,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-36,Data Analyst,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-36,2026-05-18,senior,full_time,true,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a Data Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-37,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-37,2026-05-17,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-38,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-38,2026-05-16,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-39,Business Intelligence Analyst,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-39,2026-05-15,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a Business Intelligence Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-40,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-40,2026-05-14,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-41,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-41,2026-05-13,mid,full_time,true,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-42,Junior Data Scientist,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-42,2026-05-12,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a Junior Data Scientist in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-43,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-43,2026-06-01,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-44,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-44,2026-05-31,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-45,ML Engineer Intern,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-45,2026-05-30,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a ML Engineer Intern in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-46,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-46,2026-05-29,entry,full_time,true,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-47,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-47,2026-05-28,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-48,Python Data Engineer,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-48,2026-05-27,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a Python Data Engineer in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-49,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-49,2026-05-26,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-50,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-50,2026-05-25,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-51,Data Analyst,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-51,2026-05-24,senior,full_time,true,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a Data Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-52,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-52,2026-05-23,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-53,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-53,2026-05-22,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-54,Business Intelligence Analyst,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-54,2026-05-21,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a Business Intelligence Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-55,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-55,2026-05-20,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-56,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-56,2026-05-19,mid,full_time,true,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-57,Junior Data Scientist,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-57,2026-05-18,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a Junior Data Scientist in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-58,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-58,2026-05-17,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-59,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-59,2026-05-16,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-60,ML Engineer Intern,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-60,2026-05-15,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a ML Engineer Intern in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
